order_id,order_id_date,order_date,order_due_date,project_id,project_name,client_id,client_company,order_status,order_note,writer,user_id
20250105-0001,2025-01-05,2025-01-05,2025-02-04,PJ001,비즈메이트 웹/모바일 시스템 구축,101-81-10001,비즈메이트,진행중,,ADMIN,admin
20250120-0002,2025-01-20,2025-01-20,2025-02-19,PJ002,에이투비 내부 포털,101-81-10002,에이투비,진행중,,ADMIN,admin
20250205-0003,2025-02-05,2025-02-05,2025-03-07,PJ003,코드펜 코드리뷰 플랫폼,101-81-10003,코드펜,시작전,,ADMIN,admin
20250220-0004,2025-02-20,2025-02-20,2025-03-22,PJ004,네오소프트 모노레포 전환,101-81-10004,네오소프트,시작전,,ADMIN,admin
20250305-0005,2025-03-05,2025-03-05,2025-04-04,PJ005,디지털온 B2B 커머스,101-81-10005,디지털온,진행중,,ADMIN,admin
20250320-0006,2025-03-20,2025-03-20,2025-04-19,PJ006,하이브테크 클라우드 비용관리,101-81-10006,하이브테크,진행중,,ADMIN,admin
20250405-0007,2025-04-05,2025-04-05,2025-05-05,PJ007,엠오션 배포 자동화,101-81-10007,엠오션,시작전,,ADMIN,admin
20250420-0008,2025-04-20,2025-04-20,2025-05-20,PJ008,픽셀랩 디자인 시스템,101-81-10008,픽셀랩,진행중,,ADMIN,admin
20250505-0009,2025-05-05,2025-05-05,2025-06-04,PJ009,넥스트링크 네트워크 모니터링,101-81-10009,넥스트링크,진행중,,ADMIN,admin
20250520-0010,2025-05-20,2025-05-20,2025-06-19,PJ010,플레인코드 SaaS 빌링,101-81-10010,플레인코드,시작전,,ADMIN,admin
20250605-0011,2025-06-05,2025-06-05,2025-07-05,PJ011,비전데이터 분석 파이프라인,101-81-10011,비전데이터,진행중,,ADMIN,admin
20250620-0012,2025-06-20,2025-06-20,2025-07-20,PJ012,클라우딘 멀티클라우드 이관,101-81-10012,클라우딘,진행중,,ADMIN,admin
20250705-0013,2025-07-05,2025-07-05,2025-08-04,PJ013,코드나인 CI/CD 고도화,101-81-10013,코드나인,시작전,,ADMIN,admin
20250720-0014,2025-07-20,2025-07-20,2025-08-19,PJ014,리턴랩 컨설팅 포털,101-81-10014,리턴랩,진행중,,ADMIN,admin
20250805-0015,2025-08-05,2025-08-05,2025-09-04,PJ015,포커스소프트 고객센터,101-81-10015,포커스소프트,진행중,,ADMIN,admin
20250820-0016,2025-08-20,2025-08-20,2025-09-19,PJ016,비즈메이트 문서서명 연동,101-81-10001,비즈메이트,시작전,,ADMIN,admin
20250905-0017,2025-09-05,2025-09-05,2025-10-05,PJ017,에이투비 SSO 통합,101-81-10002,에이투비,진행중,,ADMIN,admin
20251005-0018,2025-10-05,2025-10-05,2025-11-04,PJ018,코드펜 리뷰봇,101-81-10003,코드펜,시작전,,ADMIN,admin